iter	Logloss
112	0.2949741461
113	0.2934486171
114	0.2923546842
115	0.2914531799
116	0.2903197547
117	0.2896758763
118	0.289081606
119	0.2878644014
120	0.2865282468
121	0.2861526121
122	0.2844202889
123	0.2833822386
124	0.2819272444
125	0.281082837
126	0.2798040936
127	0.2790021312
128	0.2781571276
129	0.2772008468
130	0.2764291977
131	0.2756509257
132	0.2748158764
133	0.2741327162
134	0.2730754019
135	0.2719795839
136	0.270859071
137	0.2698007416
138	0.2686973228
139	0.26817375
140	0.2674662481
141	0.2666643076
142	0.2661324673
143	0.2652951609
144	0.2645500356
145	0.2636269667
146	0.2624554962
147	0.2618165856
148	0.2609824919
149	0.2602727829
150	0.2593422088
151	0.2583489026
152	0.2571959057
153	0.2559922498
154	0.2549942422
155	0.2542564869
156	0.2533945698
157	0.2527834189
158	0.2518776857
159	0.2512890988
160	0.2509899828
161	0.250392591
162	0.2495586832
163	0.2489779265
164	0.2480073961
165	0.2469303554
166	0.2464564764
167	0.2455957968
168	0.2448471217
169	0.2440665427
170	0.2429782387
171	0.2425914123
172	0.2416915876
173	0.2409731292
174	0.2404865403
175	0.2402630069
176	0.2394891874
177	0.2391552109
178	0.2387984737
179	0.2383978479
180	0.2382606313
181	0.2374712325
182	0.2371620682
183	0.236552941
184	0.2355942884
185	0.2353776512
186	0.2348716094
187	0.2342357849
188	0.2334313064
189	0.2330202391
190	0.2324008993
191	0.2317570791
192	0.2313571472
193	0.2307032119
194	0.2303279855
195	0.2293731143
196	0.228650135
197	0.2280067132
198	0.2272959037
199	0.2268376914
200	0.2259475272
201	0.22550253
202	0.2248149014
203	0.2242141427
204	0.2238894669
205	0.2234334125
206	0.2230548961
207	0.2225000114
208	0.2222193915
209	0.2215186344
210	0.2208646871
211	0.2202086201
212	0.2196361952
213	0.2191951718
214	0.21836158
215	0.2176460055
216	0.2171814188
217	0.2168373984
218	0.2160804666
219	0.2156167218
220	0.2153580249
221	0.2150612577
222	0.2145647524
223	0.2140636871
224	0.2137012569
225	0.2132649975
226	0.2129085564
227	0.2126013317
228	0.2122939757
229	0.2119979058
230	0.2118396584
231	0.2114525698
232	0.2109810355
233	0.2104043429
234	0.2100247616
235	0.2097906911
236	0.2094158529
237	0.2089486505
238	0.2085550867
239	0.2082651339
240	0.2078665908
241	0.2075142266
242	0.2070374346
243	0.2064683333
244	0.2061222887
245	0.2056378718
246	0.2051229726
247	0.2047372604
248	0.204354388
249	0.2038558858
250	0.2036460296
251	0.2033814462
252	0.2031908084
253	0.2028899213
254	0.2023648698
255	0.2020478988
256	0.2014444764
257	0.2008088049
258	0.2003023016
259	0.1999527669
260	0.1996860538
261	0.1993816721
262	0.1989321392
263	0.1983994658
264	0.1979178804
265	0.1976825205
266	0.1972541187
267	0.1966585121
268	0.1962377308
269	0.1960332935
270	0.1956405255
271	0.1950988635
272	0.1947342431
273	0.1941908828
274	0.1940382134
275	0.1935853227
276	0.1934150461
277	0.1932902708
278	0.1929669471
279	0.1926491079
280	0.1921815907
281	0.1917216964
282	0.1911620986
283	0.1908157001
284	0.1904534975
285	0.1904226839
286	0.1902217755
287	0.1897671951
288	0.1894595692
289	0.1887958674
290	0.1882588651
291	0.187581877
292	0.1874274637
293	0.1869900329
294	0.1864635297
295	0.1861415709
296	0.185962357
297	0.1856886306
298	0.1853922552
299	0.1850956388
300	0.1849494422
301	0.1844518288
302	0.1839071444
303	0.1836116182
304	0.1834273631
305	0.1831701444
306	0.1828109186
307	0.1824644529
308	0.1822572468
309	0.1819555069
310	0.1813253255
311	0.1811170625
312	0.1808275511
313	0.1806134095
314	0.1801626174
315	0.1799803877
316	0.1796514007
317	0.1794577445
318	0.1792005952
319	0.1789764977
320	0.1784473516
321	0.1780194172
322	0.1777901998
323	0.177627154
324	0.1772687229
325	0.1769761266
326	0.1766419473
327	0.1763812282
328	0.176002232
329	0.175706876
330	0.1754696423
331	0.1749831497
332	0.1745460487
333	0.1741247253
334	0.1737635675
335	0.1733047565
336	0.1730890344
337	0.1728850919
338	0.1727017001
339	0.1724895271
340	0.1720010532
341	0.1717333825
342	0.1713266182
343	0.1711010409
344	0.1708156282
345	0.1706731437
346	0.1704641379
347	0.170325781
348	0.1702122711
349	0.1701545586
350	0.1699239546
351	0.1696390913
352	0.1694709986
353	0.1693463922
354	0.168952774
355	0.168789804
356	0.1686527026
357	0.1682507229
358	0.1680923828
359	0.167941744
360	0.1678185931
361	0.1674757659
362	0.1672569876
363	0.1671640907
364	0.16687633
365	0.1666318394
366	0.1663378945
367	0.1661699604
368	0.1660728817
369	0.1656701618
370	0.1655545235
371	0.1654170836
372	0.165327115
373	0.1649670397
374	0.164868529
375	0.164730127
376	0.1642291428
377	0.1635691141
378	0.163367174
379	0.1630862742
380	0.162625679
381	0.1623996678
382	0.1622449925
383	0.1618906134
384	0.1617862633
385	0.1615185236
386	0.1612159749
387	0.1609063542
388	0.1607365324
389	0.1604523318
390	0.1603441949
391	0.1599462608
392	0.1597508558
393	0.1592494493
394	0.1591537629
395	0.1589026053
396	0.1586593666
397	0.1583851003
398	0.1579904496
399	0.1577291995
400	0.1575138669
401	0.1570977319
402	0.1568869032
403	0.1565438592
404	0.156283771
405	0.1558327157
406	0.1556778914
407	0.1556082194
408	0.1553633733
409	0.1552207904
410	0.1550439423
411	0.1549415863
412	0.1545882279
413	0.1542626144
414	0.1539477548
415	0.1536239144
416	0.1533516695
417	0.1531828043
418	0.1530083761
419	0.1528967723
420	0.1528384019
421	0.1526516024
422	0.15264877
423	0.1524309374
424	0.1521849449
425	0.1520673514
426	0.1519331492
427	0.1516272282
428	0.1512248116
429	0.151044914
430	0.1507342638
431	0.1506047251
432	0.1503409473
433	0.1501705291
434	0.1500468464
435	0.1499676479
436	0.1498450391
437	0.1496391768
438	0.149458182
439	0.1491422028
440	0.1488111757
441	0.148328821
442	0.148085895
443	0.1479495141
444	0.1476460761
445	0.1475131986
446	0.147448444
447	0.1472740558
448	0.1469782289
449	0.146847178
450	0.1467037626
451	0.1466063578
452	0.146568017
453	0.1462901179
454	0.1460719523
455	0.1459450051
456	0.145751722
457	0.1455677534
458	0.1453797525
459	0.145152919
460	0.145021549
461	0.1448134416
462	0.1446265715
463	0.1443934384
464	0.1442447048
465	0.1441850536
466	0.1437842484
467	0.1437388313
468	0.1435674711
469	0.1434562658
470	0.1433221592
471	0.1429352809
472	0.1426916799
473	0.1424349161
474	0.142244079
475	0.1420497805
476	0.1418836491
477	0.1415785077
478	0.1413584628
479	0.1412924697
480	0.1412261883
481	0.1411372819
482	0.1409868129
483	0.1408368544
484	0.140594786
485	0.1404105321
486	0.1401037612
487	0.1398364023
488	0.1396818394
489	0.1394733295
490	0.1392988206
491	0.1391336786
492	0.1390505316
493	0.1388938113
494	0.1387719189
495	0.1387263379
496	0.1384510512
497	0.1382373912
498	0.1380460086
499	0.1379715294
500	0.1378646514
501	0.1378625422
502	0.1376417554
503	0.1375889354
504	0.1374756369
505	0.1373429167
506	0.1371465943
507	0.1368455825
508	0.1367894835
509	0.1365905694
510	0.1365410564
511	0.1363906962
512	0.136175953
513	0.135878049
514	0.1356462928
515	0.1355299586
516	0.1354473634
517	0.1351812054
518	0.1350202651
519	0.1348219597
520	0.134661228
521	0.1344398341
522	0.134329229
523	0.1342242879
524	0.1341864327
525	0.1339976752
526	0.1336978721
527	0.1334848976
528	0.1332345125
529	0.1331198839
530	0.1329357312
531	0.1326653903
532	0.1322967237
533	0.1322444049
534	0.1319993875
535	0.1319176181
536	0.1318486747
537	0.1316316024
538	0.1313794901
539	0.131123294
540	0.1308535172
541	0.1304908298
542	0.130462952
543	0.1303208076
544	0.1301789522
545	0.1300067481
546	0.1299124264
547	0.1297227579
548	0.1295535095
549	0.1293923643
550	0.1291739103
551	0.1289043747
552	0.128750161
553	0.1287056802
554	0.1285009915
555	0.1282813289
556	0.1282136396
557	0.1280396984
558	0.1278443402
559	0.1275020359
560	0.1272538516
561	0.1272052091
562	0.1270662127
563	0.12696389
564	0.1269059002
565	0.1267152975
566	0.1264891496
567	0.1263925937
568	0.1261902722
569	0.1259193364
570	0.1258476278
571	0.125750121
572	0.1256012003
573	0.1253144538
574	0.1250493879
575	0.124789469
576	0.1246288776
577	0.1244206915
578	0.1241574807
579	0.1239746389
580	0.1237546902
581	0.1235540081
582	0.1234346559
583	0.1232460356
584	0.1231218496
585	0.123024213
586	0.1228154971
587	0.1226943994
588	0.1224709101
589	0.122313263
590	0.1220869638
591	0.1220324363
592	0.121940982
593	0.1217557879
594	0.1216021723
595	0.1213811847
596	0.1212601196
597	0.1211496942
598	0.1211124118
599	0.1210576656
600	0.1209629933
601	0.1208033541
602	0.1207607267
603	0.1205550861
604	0.1203464605
605	0.1201978809
606	0.119907509
607	0.1197521514
608	0.1195573703
609	0.1194253373
610	0.1194058216
611	0.1192156643
612	0.1190588219
613	0.1189705117
614	0.1188668893
615	0.1187575656
616	0.1186129381
617	0.1184637744
618	0.1183699056
619	0.1181945708
620	0.1180523648
621	0.1178377382
622	0.1176277554
623	0.1175578086
624	0.1173409839
625	0.1170724038
626	0.1169469006
627	0.1167503256
628	0.1165737542
629	0.1165008997
630	0.1164223244
631	0.1161731558
632	0.1160322495
633	0.1158418809
634	0.115777055
635	0.1155504256
636	0.1154327278
637	0.1151965425
638	0.1151606826
639	0.1149847126
640	0.1147364152
641	0.1146555891
642	0.1146028012
643	0.1145698588
644	0.1143480414
645	0.1141844882
646	0.1141398287
647	0.1139488884
648	0.113907518
649	0.1138304785
650	0.1136828084
651	0.113505041
652	0.1133021983
653	0.1131534041
654	0.1130668698
655	0.112952133
656	0.1128506751
657	0.1126936349
658	0.1125425299
659	0.112415604
660	0.1122470872
661	0.1120587119
662	0.1120138139
663	0.1118943484
664	0.1116869478
665	0.1115874966
666	0.1114766205
667	0.1114041124
668	0.1113466493
669	0.1112957593
670	0.1111218418
671	0.1110339378
672	0.1109096826
673	0.1107941186
674	0.1107417043
675	0.1105226726
676	0.1104147826
677	0.1103373261
678	0.1101234921
679	0.1100094435
680	0.1099247239
681	0.1096604147
682	0.1096053606
683	0.1093104795
684	0.109186411
685	0.1091403207
686	0.1089881159
687	0.1088540351
688	0.1086181148
689	0.1085217213
690	0.1083773034
691	0.1082523201
692	0.1080137714
693	0.1078312815
694	0.1075842494
695	0.1074887368
696	0.1073784366
697	0.1072833551
698	0.1071015649
699	0.1070283873
700	0.1068590155
701	0.1066745571
702	0.1065944192
703	0.1063471027
704	0.1061685381
705	0.1059537338
706	0.105723103
707	0.1055627887
708	0.105476083
709	0.105330399
710	0.1052294212
711	0.1050643667
712	0.1049247494
713	0.1048784344
714	0.1048434861
715	0.1047683343
716	0.1046084015
717	0.1044797379
718	0.1043846017
719	0.1042208355
720	0.1040607085
721	0.1039989783
722	0.1038349168
723	0.1036351973
724	0.1034923909
725	0.1033447483
726	0.1031317708
727	0.1030103007
728	0.1029020479
729	0.1026181871
730	0.1024725247
731	0.1023457382
732	0.102151093
733	0.1019745539
734	0.1017972501
735	0.1016990006
736	0.1014169268
737	0.1012988784
738	0.101205694
739	0.1010740885
740	0.1010156515
741	0.1010028844
742	0.1007789773
743	0.1006776352
744	0.1006237995
745	0.1004735762
746	0.1004291284
747	0.100242548
748	0.1000800536
749	0.09989750987
750	0.09983984792
751	0.09963781789
752	0.09959453672
753	0.09955938444
754	0.09945239307
755	0.09933076489
756	0.09926220243
757	0.09913140069
758	0.09908516727
759	0.09902844765
760	0.09886172667
761	0.09871008992
762	0.09854563282
763	0.09846394845
764	0.09832094111
765	0.0981147388
766	0.09806300254
767	0.0979608236
768	0.09777847414
769	0.09766078587
770	0.09755047444
771	0.09744789566
772	0.09729226789
773	0.09725616859
774	0.09718049304
775	0.09715455946
776	0.09701654612
777	0.09683574152
778	0.09665612637
779	0.09649619456
780	0.09644076386
781	0.09632776093
782	0.09625893264
783	0.09615483728
784	0.09604960109
785	0.09597578673
786	0.09592629567
787	0.09565879088
788	0.09548936505
789	0.09533585397
790	0.09528857555
791	0.09510861089
792	0.09502797862
793	0.09482114481
794	0.09468885098
795	0.09455080042
796	0.09447051558
797	0.09433889486
798	0.09428397599
799	0.09419271642
800	0.09406279849
801	0.09392215079
802	0.09383738922
803	0.09373309709
804	0.09368117879
805	0.09345886815
806	0.09333101774
807	0.09310891796
808	0.09284238212
809	0.09276562369
810	0.0927623826
811	0.09272014528
812	0.09267382537
813	0.09251567627
814	0.0923795028
815	0.09224007378
816	0.09209214439
817	0.09188095632
818	0.09185937616
819	0.09180929606
820	0.0916883534
821	0.09165350484
822	0.09154730415
823	0.09150213968
824	0.09146440135
825	0.09131630653
826	0.09119607273
827	0.09111893735
828	0.09099465479
829	0.09095114406
830	0.09088280296
831	0.09086032462
832	0.09068944391
833	0.09049777948
834	0.09042740081
835	0.09021376146
836	0.09018697895
837	0.09007215983
838	0.08999149022
839	0.08984190571
840	0.08975795808
841	0.08959564382
842	0.08954806657
843	0.08943993436
844	0.08927890603
845	0.08914791566
846	0.0889643494
847	0.0888305822
848	0.08866332636
849	0.08853394281
850	0.08841738149
851	0.0883832653
852	0.08826530681
853	0.08812919114
854	0.08808456935
855	0.0880619364
856	0.08801219087
857	0.08785788205
858	0.0877610856
859	0.08759017658
860	0.08743879131
861	0.08734737025
862	0.08724434483
863	0.08721304423
864	0.08718767912
865	0.08709047889
866	0.08697807099
867	0.08682516261
868	0.08655025164
869	0.08635104217
870	0.08628805938
871	0.08626352831
872	0.08623368807
873	0.08618131862
874	0.08604870046
875	0.08584015942
876	0.08566744909
877	0.08553643094
878	0.0854156963
879	0.0852005289
880	0.08516752137
881	0.08510869555
882	0.08501080558
883	0.08490906016
884	0.08475626051
885	0.08468039455
886	0.0845160552
887	0.08436305504
888	0.08419175404
889	0.08412769206
890	0.08410507744
891	0.08404477338
892	0.08394462692
893	0.08382752043
894	0.08368918983
895	0.08359269235
896	0.08352665717
897	0.0834352895
898	0.08338950069
899	0.08327722229
900	0.08313851157
901	0.08304303981
902	0.08299345319
903	0.08287829512
904	0.08282158348
905	0.08279016368
906	0.0827494919
907	0.08272562523
908	0.08257946809
909	0.08250985092
910	0.08247446453
911	0.08241300782
912	0.08228256512
913	0.08217694516
914	0.08209450848
915	0.08195619892
916	0.08189682049
917	0.08179282206
918	0.0817244887
919	0.08169968486
920	0.08153769066
921	0.08152124251
922	0.08144034274
923	0.08140379245
924	0.08124788088
925	0.08121339511
926	0.08107063484
927	0.08098564699
928	0.08074041509
929	0.08069616165
930	0.08065618898
931	0.0805961613
932	0.08057908248
933	0.08046566302
934	0.08038750566
935	0.08037001576
936	0.08024570414
937	0.08011537045
938	0.08001315438
939	0.07996014398
940	0.07991706622
941	0.07989874621
942	0.07981867554
943	0.07974007143
944	0.0797233344
945	0.07964553866
946	0.07959070263
947	0.07950199815
948	0.07941108467
949	0.07934941044
950	0.07921093911
951	0.07911070441
952	0.07908453926
953	0.07903483912
954	0.0789339778
955	0.07890119993
956	0.07888040327
957	0.07876284662
958	0.078679493
959	0.07860913235
960	0.07852321512
961	0.07849501131
962	0.07838768628
963	0.0783222497
964	0.07829130905
965	0.07822890237
966	0.07815718945
967	0.07808595283
968	0.07794988764
969	0.07780297659
970	0.07761892479
971	0.07753235475
972	0.07739552921
973	0.07738068115
974	0.07717681784
975	0.07711245535
976	0.07701506877
977	0.07691110926
978	0.07689643623
979	0.07678118509
980	0.07659708412
981	0.07645080621
982	0.07637071955
983	0.07622382141
984	0.07617553262
985	0.07611729018
986	0.0760865528
987	0.07607126032
988	0.07605828099
989	0.07587798615
990	0.07576121324
991	0.07572738453
992	0.07571244657
993	0.07569521688
994	0.07560658347
995	0.07553249989
996	0.07551324493
997	0.07544913675
998	0.07537989824
999	0.0753161281
