iter	Passed	Remaining
373	1333	2232
374	1336	2227
375	1338	2220
376	1339	2214
377	1341	2207
378	1343	2201
379	1348	2199
380	1351	2195
381	1352	2188
382	1354	2182
383	1356	2175
384	1357	2169
385	1362	2167
386	1365	2162
387	1366	2156
388	1368	2149
389	1370	2142
390	1371	2136
391	1373	2129
392	1378	2128
393	1380	2124
394	1382	2118
395	1384	2111
396	1385	2104
397	1387	2098
398	1388	2092
399	1393	2090
400	1395	2084
401	1397	2078
402	1399	2072
403	1400	2066
404	1402	2060
405	1405	2056
406	1409	2054
407	1412	2048
408	1414	2043
409	1415	2036
410	1416	2030
411	1418	2024
412	1424	2023
413	1427	2020
414	1429	2015
415	1436	2017
416	1438	2011
417	1440	2005
418	1442	2000
419	1444	1994
420	1447	1991
421	1450	1987
422	1452	1980
423	1459	1982
424	1463	1979
425	1465	1974
426	1467	1969
427	1474	1970
428	1476	1964
429	1478	1959
430	1480	1954
431	1482	1949
432	1485	1944
433	1493	1947
434	1495	1942
435	1497	1937
436	1502	1935
437	1504	1930
438	1508	1928
439	1510	1922
440	1512	1916
441	1513	1910
442	1515	1905
443	1516	1899
444	1518	1893
445	1522	1890
446	1523	1885
447	1525	1879
448	1527	1874
449	1528	1868
450	1530	1863
451	1532	1857
452	1533	1852
453	1537	1849
454	1539	1844
455	1541	1838
456	1543	1833
457	1544	1828
458	1546	1822
459	1548	1817
460	1552	1815
461	1554	1810
462	1555	1804
463	1557	1799
464	1559	1794
465	1561	1788
466	1563	1783
467	1566	1780
468	1568	1775
469	1570	1770
470	1571	1765
471	1573	1760
472	1575	1755
473	1577	1750
474	1578	1745
475	1582	1741
476	1584	1736
477	1586	1732
478	1587	1727
479	1589	1722
480	1591	1716
481	1594	1713
482	1599	1711
483	1601	1707
484	1603	1702
485	1605	1697
486	1608	1694
487	1612	1691
488	1614	1687
489	1617	1683
490	1618	1678
491	1620	1673
492	1628	1674
493	1629	1669
494	1632	1665
495	1633	1660
496	1655	1675
497	1659	1673
498	1661	1668
499	1665	1665
500	1667	1661
501	1669	1655
502	1671	1651
503	1674	1647
504	1676	1643
505	1678	1638
506	1680	1633
507	1697	1643
508	1699	1639
509	1705	1638
510	1709	1635
511	1712	1632
512	1739	1651
513	1742	1647
514	1746	1644
515	1748	1640
516	1750	1635
517	1752	1630
518	1754	1625
519	1755	1620
520	1757	1615
521	1760	1612
522	1762	1607
523	1764	1602
524	1765	1597
525	1778	1602
526	1780	1597
527	1782	1593
528	1784	1588
529	1786	1584
530	1788	1579
531	1790	1575
532	1794	1572
533	1796	1567
534	1798	1563
535	1801	1559
536	1803	1554
537	1809	1553
538	1811	1549
539	1816	1547
540	1817	1542
541	1823	1540
542	1826	1537
543	1828	1532
544	1829	1527
545	1832	1523
546	1834	1519
547	1837	1515
548	1839	1511
549	1841	1506
550	1845	1504
551	1847	1499
552	1849	1494
553	1850	1489
554	1852	1485
555	1854	1480
556	1855	1475
557	1857	1471
558	1860	1468
559	1862	1463
560	1864	1459
561	1866	1454
562	1868	1450
563	1870	1445
564	1872	1441
565	1876	1438
566	1877	1433
567	1879	1429
568	1881	1424
569	1882	1420
570	1884	1415
571	1886	1411
572	1890	1408
573	1891	1404
574	1893	1399
575	1895	1395
576	1896	1390
577	1898	1386
578	1899	1381
579	1901	1377
580	1905	1374
581	1906	1369
582	1908	1365
583	1910	1360
584	1911	1356
585	1913	1351
586	1915	1347
587	1916	1343
588	1920	1340
589	1922	1335
590	1923	1331
591	1925	1327
592	1927	1323
593	1929	1318
594	1931	1314
595	1934	1311
596	1936	1307
597	1938	1302
598	1939	1298
599	1941	1294
600	1943	1290
601	1945	1286
602	1946	1281
603	1951	1279
604	1952	1274
605	1954	1270
606	1956	1266
607	1957	1262
608	1959	1258
609	1961	1253
610	1965	1251
611	1967	1247
612	1969	1243
613	1972	1239
614	1974	1236
615	1976	1231
616	1980	1229
617	1981	1225
618	1983	1220
619	1986	1217
620	1988	1213
621	1991	1210
622	1994	1207
623	1997	1203
624	1999	1199
625	2001	1195
626	2003	1191
627	2008	1189
628	2010	1185
629	2011	1181
630	2013	1177
631	2015	1173
632	2017	1169
633	2020	1166
634	2023	1162
635	2025	1159
636	2029	1156
637	2030	1152
638	2032	1148
639	2034	1144
640	2038	1141
641	2040	1137
642	2042	1134
643	2043	1129
644	2045	1125
645	2047	1121
646	2048	1117
647	2052	1114
648	2054	1111
649	2056	1107
650	2058	1103
651	2059	1099
652	2061	1095
653	2062	1091
654	2065	1087
655	2067	1084
656	2069	1080
657	2070	1076
658	2072	1072
659	2073	1068
660	2075	1064
661	2076	1060
662	2078	1056
663	2081	1053
664	2083	1049
665	2084	1045
666	2085	1041
667	2086	1037
668	2088	1033
669	2089	1029
670	2090	1025
671	2092	1021
672	2093	1017
673	2095	1013
674	2097	1009
675	2098	1005
676	2099	1001
677	2100	997
678	2102	993
679	2103	990
680	2105	986
681	2106	982
682	2108	978
683	2110	974
684	2112	971
685	2113	967
686	2115	963
687	2119	961
688	2120	957
689	2122	953
690	2123	949
691	2129	948
692	2131	944
693	2133	940
694	2134	936
695	2135	932
696	2136	928
697	2138	925
698	2142	922
699	2145	919
700	2147	916
701	2149	912
702	2150	908
703	2151	904
704	2153	900
705	2155	897
706	2162	896
707	2163	892
708	2165	888
709	2166	885
710	2168	881
711	2169	877
712	2171	874
713	2173	870
714	2174	866
715	2176	863
716	2178	859
717	2179	856
718	2181	852
719	2183	849
720	2188	846
721	2189	843
722	2191	839
723	2192	835
724	2193	832
725	2195	828
726	2196	824
727	2197	821
728	2199	817
729	2201	814
730	2202	810
731	2205	807
732	2207	804
733	2208	800
734	2210	796
735	2211	793
736	2212	789
737	2214	786
738	2215	782
739	2217	779
740	2219	775
741	2220	772
742	2222	768
743	2223	765
744	2224	761
745	2226	757
746	2227	754
747	2229	750
748	2230	747
749	2233	744
750	2234	740
751	2236	737
752	2238	734
753	2239	730
754	2240	727
755	2242	723
756	2243	720
757	2245	716
758	2246	713
759	2248	710
760	2250	706
761	2251	703
762	2252	699
763	2253	696
764	2255	692
765	2256	689
766	2257	685
767	2258	682
768	2260	678
769	2261	675
770	2263	672
771	2265	669
772	2266	665
773	2267	662
774	2268	658
775	2270	655
776	2272	652
777	2273	648
778	2274	645
779	2276	642
780	2278	638
781	2279	635
782	2281	632
783	2282	628
784	2283	625
785	2285	622
786	2286	618
787	2288	615
788	2289	612
789	2290	608
790	2292	605
791	2294	602
792	2296	599
793	2297	596
794	2298	592
795	2300	589
796	2301	586
797	2302	582
798	2303	579
799	2305	576
800	2306	573
801	2308	569
802	2310	566
803	2311	563
804	2313	560
805	2314	557
806	2316	553
807	2317	550
808	2318	547
809	2319	544
810	2320	540
811	2322	537
812	2324	534
813	2325	531
814	2326	528
815	2328	525
816	2330	522
817	2333	519
818	2334	515
819	2336	512
820	2337	509
821	2340	506
822	2341	503
823	2343	500
824	2344	497
825	2346	494
826	2348	491
827	2349	488
828	2351	485
829	2353	482
830	2355	478
831	2356	475
832	2358	472
833	2359	469
834	2361	466
835	2363	463
836	2366	460
837	2368	457
838	2370	454
839	2372	451
840	2373	448
841	2374	445
842	2375	442
843	2377	439
844	2378	436
845	2379	433
846	2381	430
847	2382	427
848	2385	424
849	2386	421
850	2387	418
851	2388	414
852	2390	411
853	2391	408
854	2392	405
855	2393	402
856	2394	399
857	2396	396
858	2397	393
859	2400	390
860	2402	387
861	2403	384
862	2405	381
863	2406	378
864	2407	375
865	2408	372
866	2410	369
867	2411	366
868	2412	363
869	2415	360
870	2416	357
871	2417	354
872	2419	351
873	2420	348
874	2421	345
875	2422	342
876	2423	339
877	2425	336
878	2426	334
879	2427	331
880	2429	328
881	2430	325
882	2432	322
883	2433	319
884	2434	316
885	2435	313
886	2437	310
887	2438	307
888	2439	304
889	2440	301
890	2442	298
891	2443	295
892	2445	293
893	2447	290
894	2448	287
895	2449	284
896	2450	281
897	2452	278
898	2453	275
899	2454	272
900	2455	269
901	2456	266
902	2458	264
903	2460	261
904	2462	258
905	2463	255
906	2464	252
907	2465	249
908	2466	246
909	2468	244
910	2469	241
911	2470	238
912	2471	235
913	2473	232
914	2474	229
915	2477	227
916	2478	224
917	2479	221
918	2480	218
919	2481	215
920	2483	212
921	2484	210
922	2485	207
923	2486	204
924	2488	201
925	2489	198
926	2492	196
927	2493	193
928	2494	190
929	2496	187
930	2497	185
931	2498	182
932	2499	179
933	2501	176
934	2502	173
935	2503	171
936	2505	168
937	2507	165
938	2509	163
939	2510	160
940	2512	157
941	2513	154
942	2514	151
943	2515	149
944	2516	146
945	2520	143
946	2522	141
947	2523	138
948	2525	135
949	2526	132
950	2527	130
951	2529	127
952	2530	124
953	2532	122
954	2534	119
955	2536	116
956	2538	114
957	2539	111
958	2541	108
959	2542	105
960	2544	103
961	2546	100
962	2548	97
963	2550	95
964	2553	92
965	2555	89
966	2557	87
967	2558	84
968	2559	81
969	2561	79
970	2562	76
971	2563	73
972	2566	71
973	2567	68
974	2569	65
975	2570	63
976	2572	60
977	2573	57
978	2575	55
979	2576	52
980	2578	49
981	2581	47
982	2583	44
983	2584	42
984	2587	39
985	2589	36
986	2595	34
987	2596	31
988	2598	28
989	2599	26
990	2601	23
991	2603	20
992	2607	18
993	2609	15
994	2610	13
995	2615	10
996	2617	7
997	2619	5
998	2621	2
999	2625	0
